,state,funding_level,funding_dist,funding_effort,k12_spend,rank_score,college_ready_score
0,Alabama,F,F,C,10108.0,6,7
1,Alaska,A,A,B,18392.0,2,14
2,Arizona,F,C,F,8770.0,4,4
3,Arkansas,D,C,B,10414.0,13,6
4,California,D,A,F,13642.0,11,18
5,Colorado,D,C,F,11070.0,44,45
6,Connecticut,A,F,A,21146.0,48,50
7,Delaware,A,A,D,15931.0,29,33
8,Florida,F,F,F,9983.0,35,35
9,Georgia,D,C,C,11203.0,21,30
10,Idaho,F,D,F,8041.0,28,46
11,Illinois,B,F,A,16277.0,45,49
12,Indiana,C,C,C,10256.0,42,38
13,Iowa,C,D,C,11935.0,27,11
14,Kansas,C,C,C,11327.0,24,9
15,Kentucky,D,C,C,11278.0,18,20
16,Louisiana,D,C,F,11917.0,5,5
17,Maine,A,F,A,15691.0,39,42
18,Maryland,C,C,C,15582.0,37,36
19,Massachusetts,A,B,C,19193.0,49,47
20,Michigan,C,D,C,12053.0,19,34
21,Minnesota,C,A,C,13302.0,33,22
22,Mississippi,F,C,B,9255.0,8,2
23,Missouri,C,F,C,11349.0,25,13
24,Montana,C,B,C,11983.0,15,12
25,Nebraska,C,A,C,12741.0,38,28
26,Nevada,F,F,F,9124.0,3,3
27,New Hampshire,A,F,B,17456.0,47,43
28,New Jersey,A,C,A,21334.0,50,48
29,New Mexico,D,C,C,10469.0,1,1
30,New York,A,B,A,24881.0,32,40
31,North Carolina,F,C,F,9798.0,36,37
32,North Dakota,A,F,D,14037.0,17,21
33,Ohio,C,A,C,13437.0,31,26
34,Oklahoma,F,C,F,9200.0,7,10
35,Oregon,D,C,D,12460.0,14,24
36,Pennsylvania,A,C,A,16897.0,34,31
37,Rhode Island,B,D,B,17539.0,26,44
38,South Carolina,C,C,A,10991.0,9,27
39,South Dakota,C,A,F,10326.0,22,16
40,Tennessee,F,C,F,9942.0,20,17
41,Texas,F,D,D,9871.0,16,23
42,Utah,F,A,F,7951.0,30,15
43,Vermont,A,C,A,21219.0,46,39
44,Virginia,D,C,D,12638.0,41,29
45,Washington,C,F,F,14348.0,40,25
46,West Virginia,C,D,A,12266.0,10,32
47,Wisconsin,C,B,C,12694.0,43,19
48,Wyoming,A,A,A,16231.0,12,8
